distance_travelled,brand,engine_capacity,year_of_creation,engine_type,price,hp
184737.0,Мерседес,5.5,2013.0,бензин,5750000.0,544.0
106000.0,Тойота,2.5,2021.0,бензин,3048000.0,200.0
249000.0,Мазда,2.0,2013.0,бензин,780000.0,150.0
250000.0,БМВ,2.5,2015.0,бензин,500000.0,170.0
142000.0,Вольво,2.0,2010.0,дизель,3249000.0,190.0
87291.0,Шкода,1.4,2016.0,бензин,1735700.0,150.0
108340.0,Хонда,2.4,2012.0,бензин,1755900.0,200.0
215782.0,БМВ,2.0,2013.0,бензин,1853800.0,184.0
303000.0,Peugeot,1.6,2015.0,бензин,349000.0,109.0
67189.0,Мерседес,2.0,2022.0,бензин,5950000.0,197.0
98300.0,Фольксваген,1.4,2018.0,бензин,1300000.0,125.0
594000.0,БМВ,2.9,2013.0,дизель,750000.0,184.0
278000.0,Ниссан,1.5,2005.0,бензин,449990.0,98.0
224268.0,Форд,2.0,2001.0,бензин,230000.0,129.0
134239.0,Киа,2.4,2018.0,бензин,2100000.0,188.0
152292.0,Вольво,2.4,2010.0,дизель,2550000.0,181.0
73705.0,Киа,2.2,2020.0,дизель,3400000.0,200.0
69946.0,Мерседес,2.0,2020.0,бензин,4950000.0,197.0
149000.0,БМВ,2.0,2013.0,бензин,2690000.0,184.0
275000.0,БМВ,2.0,2015.0,дизель,2800000.0,190.0
125289.0,Киа,2.0,2016.0,бензин,1595000.0,150.0
195000.0,Шкода,1.2,2012.0,бензин,840000.0,105.0
87628.0,Peugeot,1.6,2015.0,бензин,2050000.0,150.0
136030.0,Ситроен,2.0,2021.0,дизель,3490000.0,150.0
137000.0,Лада,1.6,2015.0,бензин,215000.0,81.0
75046.0,Хавейл,2.0,2017.0,бензин,2199000.0,190.0
180953.0,Фольксваген,1.6,2013.0,бензин,639000.0,105.0
211432.0,Мицубиси,3.0,2010.0,бензин,1589000.0,178.0
112409.0,Peugeot,1.6,2015.0,бензин,950000.0,150.0
89330.0,Лексус,2.7,2015.0,бензин,2890000.0,188.0
129111.0,Ягуар,3.0,2016.0,бензин,3495000.0,340.0
35874.0,Джили,2.0,2021.0,бензин,2899000.0,238.0
78035.0,Лексус,5.7,2015.0,бензин,9679000.0,367.0
69108.0,БМВ,2.0,2015.0,дизель,4799000.0,190.0
340000.0,Форд,1.6,2008.0,бензин,430000.0,100.0
258104.0,Хендай,1.5,2008.0,бензин,440000.0,102.0
27663.0,Чери,2.0,2018.0,бензин,3070000.0,197.0
83332.0,Хендай,1.6,2017.0,бензин,1250000.0,123.0
163343.0,Хендай,2.0,2010.0,бензин,1360000.0,150.0
77299.0,Донг,1.6,2010.0,бензин,750000.0,117.0
240000.0,Хендай,2.0,2017.0,бензин,1350000.0,150.0
145039.0,Ниссан,2.0,2011.0,бензин,1530000.0,141.0
371000.0,Хендай,1.5,2005.0,бензин,450000.0,102.0
95853.0,Чери,1.6,2018.0,бензин,2000000.0,186.0
213219.0,Мерседес,3.5,2013.0,бензин,1690000.0,306.0
92160.0,Фольксваген,1.6,2015.0,бензин,1199000.0,105.0
208781.0,Киа,2.0,2011.0,бензин,1200000.0,150.0
128556.0,Фольксваген,2.0,2018.0,дизель,5200000.0,204.0
205000.0,Субару,2.0,2015.0,бензин,1690000.0,280.0
6345.0,БМВ,2.0,2013.0,дизель,7700000.0,190.0
132559.0,Мерседес,2.0,2015.0,бензин,2380000.0,184.0
13978.0,Генезис,2.0,2010.0,бензин,3270000.0,197.0
78625.0,Инфинити,2.0,2010.0,бензин,2220000.0,211.0
193947.0,Бентли,6.0,2013.0,бензин,4000000.0,625.0
219075.0,Тойота,2.5,2018.0,бензин,2266000.0,181.0
125518.0,Тойота,4.7,2007.0,бензин,2799000.0,288.0
22000.0,LADA,1.6,2023.0,бензин,920000.0,90.0
58395.0,Хавейл,1.5,2017.0,бензин,1999000.0,150.0
107835.0,Хендай,2.0,2019.0,бензин,1850000.0,149.0
73479.0,Ситроен,2.0,2020.0,дизель,2409000.0,150.0
169955.0,LADA,1.6,2018.0,бензин,698000.0,87.0
217321.0,Ниссан,2.0,2013.0,бензин,1234000.0,141.0
118236.0,Киа,1.4,2019.0,бензин,1759000.0,140.0
142574.0,БМВ,2.0,2013.0,дизель,2020000.0,184.0
62000.0,Киа,1.6,2019.0,бензин,1899000.0,128.0
60820.0,Рено,1.3,2021.0,бензин,1959000.0,150.0
192068.0,Мазда,2.0,2016.0,бензин,1229000.0,147.0
111687.0,Киа,1.6,2017.0,бензин,1247000.0,123.0
93000.0,Хонда,1.5,2018.0,бензин,1655000.0,131.0
125000.0,Шкода,1.4,2012.0,бензин,520000.0,80.0
193438.0,Мерседес,1.6,2015.0,бензин,1930000.0,156.0
61151.0,Хавейл,2.0,2017.0,бензин,1862000.0,190.0
180000.0,Мазда,2.3,2017.0,бензин,949000.0,238.0
24590.0,Джетур,1.6,2010.0,бензин,2400000.0,190.0
145000.0,Форд,1.4,2005.0,бензин,230000.0,80.0
124400.0,Рено,1.5,2016.0,дизель,1049000.0,109.0
155000.0,Опель,1.2,2011.0,бензин,560000.0,85.0
80014.0,Киа,2.0,2019.0,бензин,1920000.0,150.0
