Пробег,Марка,Объем двигателя,Год создания,Тип двигателя,Цена,Лошадиные силы,Расход,Кол-во мест,Трансмиссия
,---,,0,-,No price,---,0,- мест,-----
54 000,Шкода, 1.4,2005,бензин,185 000,75,6.7,5,МКПП
30,Лексус, 2.4,350,бензин,13 490 000,275,0,7,АКПП
119 000,Ленд, 3.0,2021,дизель,7 990 000,249,0,- мест,-----
96 272,Фольксваген, 2.0,2019,бензин,2 700 000,180,0,- мест,-----
74 400,Киа, 2.5,2021,бензин,3 500 000,179,0,- мест,-----
150 267,Шкода, 1.6,2013,бензин,750 000,105,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
43 900,LADA, 1.8,2021,бензин,1 470 000,122,7.8,5,МКПП
153 968,Рено, 2.0,2018,бензин,1 530 000,143,0,- мест,-----
220 000,Шевроле, 1.6,2011,бензин,660 000,124,0,- мест,-----
361 000,Фольксваген, 1.6,1999,бензин,340 000,100,8.3,5,МКПП
127 000,СсангЙонг, 2.0,2013,бензин,1 230 000,149,0,- мест,-----
132 000,Форд, 1.6,2014,бензин,920 000,105,0,- мест,-----
69 000,Мицубиси, 2.0,2018,бензин,2 240 000,146,0,- мест,-----
215 000,Ниссан, 2.0,2011,бензин,1 150 000,141,0,- мест,-----
149 651,Тойота, 2.2,4,дизель,2 678 000,150,0,- мест,-----
135 000,Лада, 1.6,2112,бензин,350 000,89,7.5,5,МКПП
128 687,LADA, 1.6,2021,бензин,1 320 000,90,0,- мест,-----
90 000,Рено, 1.6,2018,бензин,1 230 000,114,0,- мест,-----
49 000,Ситроен, 2.0,2020,дизель,4 119 000,150,0,- мест,-----
202 000,Ниссан, 3.5,2009,бензин,1 149 000,249,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
192 380,Опель, 1.6,2007,бензин,335 000,105,6.7,5,МКПП
80 000,ГАЗ, 2.4,24,бензин,380 000,100,0,5,МКПП
,---,,0,-,No price,---,0,- мест,-----
225 000,Вольво, 2.4,70,дизель,2 249 000,181,0,- мест,-----
101 000,Шкода, 1.6,2018,бензин,1 645 000,110,0,- мест,-----
226 000,Лада, 1.6,2110,бензин,185 000,89,0,- мест,-----
238 000,Мерседес, 3.5,2005,бензин,890 000,272,10.2,5,АКПП
